输入长度,输出长度,并发数,输出tokens总吞吐,首tokens时延TP90（ms）,首tokens时延TP99（ms）,最大首tokens时延（ms）,平均首tokens时延（ms）,增量时延TP90（ms）,增量时延TP99（ms）,最大增量时延（ms）,平均增量时延（ms）,所有请求耗时(s)
2048,1200,1,46.4567,2293.6418,2293.795,2293.812,2292.9613,156.5224,157.7574,159.5735,19.5741,51.661
2048,1200,4,116.7697,8822.0117,8822.9926,8823.1016,8813.5052,214.5423,216.4138,225.1214,26.7935,82.2131
2048,1200,8,172.5122,17477.1151,17478.4132,17478.5274,17467.0646,251.9908,256.9879,317.8304,31.6685,111.2964
4096,1200,1,42.5958,4455.3324,4455.7926,4455.8438,4453.2869,157.7068,158.9756,160.6085,19.7247,56.3436
4096,1200,4,94.5689,17512.4695,17513.4893,17513.6027,17511.1586,219.7731,222.5859,248.3501,27.5854,101.5133
4096,1200,8,127.7162,34905.3423,34906.0536,34906.1289,34900.789,262.8651,274.6016,277.1179,33.3888,150.3333
8192,1200,1,13.3761,8956.1522,8959.2754,8959.6224,8942.2717,518.4476,602.6103,673.3756,67.1113,179.4249
8192,1200,4,42.0454,35326.8929,35347.1864,35349.4412,32066.9747,457.2014,613.363,681.4621,65.322,228.3244
8192,1200,8,66.7493,70294.0773,70316.369,70316.3694,54213.2292,442.3934,569.7931,620.2288,60.8652,287.6435
12000,1200,1,13.6884,13167.134,13175.3928,13176.3104,13130.4282,434.0653,591.8523,646.3505,61.8896,175.3304
12000,1200,4,36.8666,51996.1075,51996.5986,51996.6531,46777.1645,454.014,594.4756,688.7896,64.8017,260.3983
12000,1200,8,38.6316,103863.3408,103894.7063,103895.0028,73784.1907,446.1947,551.7605,73868.64,68.2563,497.0029
16000,1200,1,12.7366,17587.521,17590.3201,17590.6311,17575.0804,433.2577,598.5583,658.5952,63.6493,188.434
16000,1200,4,31.019,69825.8018,69826.3474,69826.408,61268.0513,536.8723,629.3204,707.5618,70.4415,309.4873
16000,1200,8,31.1344,231919.5384,232196.5711,232196.6521,118446.1508,449.1148,581.7096,652.2547,63.5069,616.6805
20000,1200,1,11.5161,22156.3203,22157.114,22157.2022,22152.7928,525.7808,607.8695,689.9804,68.1539,208.4038
20000,1200,4,29.6419,88193.9039,88206.0429,88207.3916,64990.2306,447.2879,567.7819,667.2181,61.0581,323.8655
20000,1200,8,29.3812,246310.6192,250167.6214,250247.8299,143887.4814,452.6472,580.605,681.1201,63.5857,653.4798
